tid,topicId,replies,favorite,support,historyPV,yesterdayPV/yesterdayUV,yesterdayUV,dateline
11799917,7,13,,0,1233,1,1,29690604
12307778,30,6,,0,228,1,1,1783372
12141903,23,9,0,0,565,1,1,7411073
12014154,11,0,0,0,11,1,1,14080257
11892649,2,7,,1,1327,1,1,23200095
7317927,9,1668,,2,299482,1,1,176305791
12027367,23,5,0,0,868,1,1,12941994
11975780,7,5,0,0,615,1,1,17451171
11769666,30,11,0,0,921,1,1,31466325
12103745,2,6,0,0,201,1,1,9077624
12196377,2,6,0,0,257,1,1,4992572
12139671,1,5,0,0,477,1,1,7510658
12002053,2,15,,1,2545,1,1,15086820
12207692,30,0,0,0,144,1,1,4637175
12087944,6,12,0,0,1099,1,1,9803047
11891941,2,3,,1,417,1,1,23247770
12191699,4,5,0,0,183,1,1,5159333
11984567,2,2,0,0,241,1,1,16662226
11960937,23,11,0,2,2014,1,1,18646609
11824031,7,109,,7,21424,1,1,28301770
12301318,2,0,0,0,34,1,2,2024128
12190728,4,21,,2,1323,1,1,5189302
11815461,3,18,,4,1987,1,1,29026559
12055566,2,7,,0,784,1,2,10915668
11925244,6,9,0,2,1564,1,1,20885842
11490304,4,67,0,14,6940,1,1,52628902
11832973,7,21,0,0,2333,1,1,27486039
11984136,7,14,0,0,934,1,1,16690911
11804302,4,12,,2,3189,1,1,29358420
12070979,4,6,,0,424,1,1,10452489
12200021,10,47,0,0,3642,1,1,4854886
12268481,21,7,0,0,1602,1,1,3352141
12029014,7,1,,0,473,1,1,12774071
12195414,2,70,,0,4527,2,1,5018918
11950491,23,5,0,0,600,1,1,19438667
11943412,2,13,,0,2838,1,1,19873992
12279574,2,5,,1,618,2,1,2866991
12117710,7,0,0,0,768,1,1,8394206
12366173,22,1,,0,201,1,1,272743
11986296,2,1,0,0,207,1,1,16508360
12346714,2,3,0,0,206,1,1,1033846
12048136,2,24,0,0,2155,1,1,11250589
11851222,3,3,0,0,649,1,1,25672695
12165230,25,8,,0,2038,3,1,6391333
12122520,7,6,0,0,89,1,1,8146325
12140149,23,4,0,0,912,1,1,7493106
12097095,7,1,0,0,443,1,1,9361565
12147012,6,29,0,0,2068,1,1,7106541
11918798,2,9,0,0,802,1,1,21321280
11827380,7,2,0,0,160,1,1,27991354
12280450,2,11,0,0,613,1,2,2841045
12000322,7,4,,0,669,1,1,15199426
11770560,,0,0,2,35,1,1,31367519
12367066,22,0,0,0,1,1,1,188583
11836273,30,26,0,2,2837,1,1,27197039
12205841,4,42,,0,1551,1,1,4670154
11856320,4,2,0,0,368,1,1,24997140
12152196,7,50,,8,4878,1,1,6844158
11832936,4,6,0,2,518,1,1,27487879
11935431,2,94,,1,19415,1,1,20302676
12177853,24,2,0,1,1771,1,1,5859814
12355312,7,7,,0,643,1,1,723467
12245849,7,7,0,0,684,1,1,3814464
11915816,7,360,,17,55722,1,1,21521674
12110131,7,24,,2,2586,1,1,8771079
12129496,,1,0,0,140,1,1,7932824
12151193,23,13,0,0,1068,1,1,6905022
11815282,25,0,0,2,1643,1,1,29037398
11771671,7,9,0,6,659,1,1,31216207
11928990,1,0,0,0,1319,1,1,20672389
11792885,23,7,0,0,5080,1,1,30146923
12349045,7,8,0,0,301,1,1,885085
11823037,7,7,,0,1378,1,1,28399943
12083969,7,11,0,0,747,1,1,9947832
12100547,2,5,0,0,284,1,1,9230704
11856079,3,4,0,0,1903,1,1,25041006
12123907,1,0,0,0,1041,1,1,8125864
12175296,7,4,,0,520,1,1,5984336
11916892,3,6,0,0,1077,1,1,21443523
11796611,6,3,0,0,258,1,1,29892667
12212610,21,3,0,0,1227,1,1,4491964
12021103,2,2,0,0,282,1,1,13500245
11854544,6,2,0,0,448,1,1,25236462
12083749,4,6,0,0,69,1,1,9954181
12275532,1,6,,1,645,1,1,3073448
12277304,7,20,0,0,1395,1,1,2990931
12139905,8,12,0,0,3901,1,1,7502053
12117138,4,4,0,0,264,1,1,8438768
11785242,4,3,0,0,631,1,1,30509569
12212785,2,0,0,0,29,1,1,4489477
12349068,2,4,0,0,126,1,2,884447
11856607,7,14,0,1,748,1,1,24970553
12268813,6,40,0,0,2809,2,1,3343212
11058910,8,70,,26,13411,1,1,75831506
11799652,6,8,0,4,2358,1,1,29704434
11849079,6,2,,0,594,1,1,25916306
12311461,1,1,0,0,197,1,1,1555474
12310455,2,9,0,0,168,1,2,1620513
11928111,6,9,,0,1676,1,1,20728705
12205654,2,1,0,0,86,1,1,4675384
12123555,2,4,0,0,1362,1,1,8131977
12294637,2,85,,0,4867,1,1,2239701
12010529,7,41,,0,2074,1,1,14304101
12141088,7,11,0,0,1593,1,1,7440063
12221317,2,1,,0,432,1,2,4251779
12017991,10,52,,1,8820,1,1,13831238
12365419,2,2,0,0,174,1,1,341746
12313272,7,13,,0,1074,1,1,1468080
11954984,2,5,0,0,525,1,1,19103030
11806822,4,28,,8,3101,1,1,29171792
11954241,,61,,3,7364,1,1,19167526
11831769,30,5,0,2,420,1,1,27581181
12014104,6,2,,0,459,1,1,14081862
12361567,2,10,0,0,402,1,1,529094
12114932,7,2,0,0,179,1,1,8546371
12350749,7,4,0,0,266,1,1,791918
12310148,2,14,0,0,646,1.5,2,1637683
11998205,10,107,,0,15623,1,1,15395300
12034485,2,15,,0,1496,1,1,12146994
12208278,4,19,,3,1823,2,1,4600411
11900055,6,18,,3,7086,2,1,22641227
12309960,2,11,,0,1492,1,1,1647738
12148646,2,13,,1,1124,1,1,7015743
11963824,7,24,0,0,1797,1,1,18397750
12042099,7,119,,13,13076,1,1,11628422
11951258,2,19,0,0,2520,1,1,19378458
12162423,7,2,,0,312,1,1,6494031
12054299,2,18,,1,2073,1,1,10976964
12097395,2,15,0,0,387,1,1,9347733
12349102,2,7,0,0,140,1,1,883845
12306239,2,48,,0,2165,1,1,1863919
12055505,2,21,,0,1419,1,1,10931283
12256606,7,6,0,0,199,1,1,3628601
12363427,,5,0,0,261,1,1,481359
11819858,6,12,0,2,1408,1,1,28660160
11824459,7,13,0,2,1817,1,1,28252179
11999416,4,3,,0,496,1,1,15276862
12365501,30,36,0,0,384,1,1,337422
10919030,4,239,,154,197242,1,1,82755826
12202836,2,1,0,1,79,1,1,4758930
11901607,2,12,0,0,2359,1,1,22541047
12063785,30,6,,0,860,2,1,10681873
12361064,2,19,,0,1455,1,1,571700
12281136,21,7,0,0,577,1,1,2822848
12001682,7,27,,2,2688,2,1,15109902
